Date,Open,High,Low,Close,Adj Close,Volume
"Wednesday, January 26, 2005",965,975,965,970,548.34613,84725000
"Thursday, January 27, 2005",970,970,960,960,542.692932,134222500
"Friday, January 28, 2005",965,965,955,960,542.692932,100760000
"Monday, January 31, 2005",960,965,950,960,542.692932,137322500
"Tuesday, February 1, 2005",965,975,960,965,545.519531,69960000
"Wednesday, February 2, 2005",965,970,950,950,537.040039,103680000
"Thursday, February 3, 2005",950,955,935,940,531.387024,125185000
"Friday, February 4, 2005",940,945,935,935,528.560364,66002500
"Monday, February 7, 2005",940,945,930,930,525.733948,48097500
"Tuesday, February 8, 2005",930,930,920,925,522.907166,60667500
"Friday, February 11, 2005",925,940,920,935,528.560364,60615000
"Monday, February 14, 2005",935,945,930,930,525.733948,110112500
"Tuesday, February 15, 2005",935,950,930,950,537.040039,103120000
"Wednesday, February 16, 2005",950,955,945,950,537.040039,82627500
"Thursday, February 17, 2005",950,950,940,940,531.387024,178605000
"Friday, February 18, 2005",940,945,935,940,531.387024,70675000
"Monday, February 21, 2005",940,940,920,925,522.907166,203617500
"Tuesday, February 22, 2005",920,935,920,930,525.733948,181150000
"Wednesday, February 23, 2005",930,930,920,930,525.733948,61910000
"Thursday, February 24, 2005",930,930,915,915,517.254272,81207500
"Friday, February 25, 2005",920,925,885,895,505.948212,254097500
"Monday, February 28, 2005",895,895,875,885,500.295166,92602500
"Tuesday, March 1, 2005",885,920,885,910,514.427734,221865000
"Wednesday, March 2, 2005",910,910,890,895,505.948212,172462500
"Thursday, March 3, 2005",890,905,890,905,511.601288,195842500
"Friday, March 4, 2005",900,900,885,885,500.295166,158212500
"Monday, March 7, 2005",890,895,880,885,500.295166,100120000
"Tuesday, March 8, 2005",885,895,885,895,505.948212,160957500
"Wednesday, March 9, 2005",895,905,895,905,511.601288,49237500
"Thursday, March 10, 2005",895,895,875,885,500.295166,159062500
"Monday, March 14, 2005",880,880,835,860,486.162506,553407500
"Tuesday, March 15, 2005",860,885,855,875,494.642029,233760000
"Wednesday, March 16, 2005",875,890,865,875,494.642029,163600000
"Thursday, March 17, 2005",870,890,870,880,497.468689,74130000
"Friday, March 18, 2005",880,890,870,885,500.295166,129662500
"Monday, March 21, 2005",885,915,885,905,511.601288,141227500
"Tuesday, March 22, 2005",905,925,895,915,517.254272,135330000
"Wednesday, March 23, 2005",905,935,900,925,522.907166,173987500
"Thursday, March 24, 2005",925,925,905,910,514.427734,200785000
"Monday, March 28, 2005",905,930,900,915,517.254272,70840000
"Tuesday, March 29, 2005",910,915,890,900,508.774658,179952500
"Wednesday, March 30, 2005",895,900,880,890,503.121521,183315000
"Thursday, March 31, 2005",895,900,885,895,505.948212,70960000
"Friday, April 1, 2005",900,925,895,925,522.907166,95225000
"Monday, April 4, 2005",930,945,925,940,531.387024,105080000
"Tuesday, April 5, 2005",940,945,930,930,525.733948,53150000
"Wednesday, April 6, 2005",930,935,925,925,522.907166,25960000
"Thursday, April 7, 2005",930,945,930,935,528.560364,43960000
"Friday, April 8, 2005",940,940,920,935,528.560364,112385000
"Monday, April 11, 2005",930,945,925,940,531.387024,52887500
"Tuesday, April 12, 2005",935,935,930,935,528.560364,35095000
"Wednesday, April 13, 2005",940,945,935,945,534.213501,34022500
"Thursday, April 14, 2005",940,945,935,935,528.560364,30732500
"Friday, April 15, 2005",935,935,920,925,522.907166,95025000
"Monday, April 18, 2005",910,910,895,900,508.774658,109005000
"Tuesday, April 19, 2005",900,900,885,890,503.121521,37305000
"Wednesday, April 20, 2005",895,895,885,885,500.295166,24027500
"Thursday, April 21, 2005",880,880,855,875,494.642029,106350000
"Monday, April 25, 2005",875,880,860,870,491.815521,60065000
"Tuesday, April 26, 2005",870,885,870,875,494.642029,100492500
"Wednesday, April 27, 2005",875,875,860,865,488.989014,76465000
"Thursday, April 28, 2005",860,875,860,870,491.815521,82092500
"Friday, April 29, 2005",865,865,850,855,483.336029,68437500
"Monday, May 2, 2005",855,855,840,845,477.682831,38900000
"Tuesday, May 3, 2005",820,845,820,835,472.029846,136657500
"Wednesday, May 4, 2005",840,870,840,860,486.162506,98250000
"Friday, May 6, 2005",860,905,860,900,508.774658,231235000
"Monday, May 9, 2005",895,930,890,930,525.733948,192532500
"Tuesday, May 10, 2005",925,930,920,920,520.080811,54382500
"Wednesday, May 11, 2005",905,905,890,890,503.121521,100865000
"Thursday, May 12, 2005",890,900,885,895,505.948212,34542500
"Friday, May 13, 2005",890,895,880,885,500.295166,52675000
"Monday, May 16, 2005",880,880,860,865,488.989014,74167500
"Tuesday, May 17, 2005",870,885,870,875,494.642029,96877500
"Wednesday, May 18, 2005",875,875,870,875,494.642029,100162500
"Thursday, May 19, 2005",885,895,885,895,505.948212,87342500
"Friday, May 20, 2005",900,910,900,910,514.427734,43487500
"Monday, May 23, 2005",905,920,900,920,520.080811,72365000
"Wednesday, May 25, 2005",915,925,910,920,520.080811,133962500
"Thursday, May 26, 2005",910,925,905,920,520.080811,80100000
"Friday, May 27, 2005",925,930,915,920,520.080811,27547500
"Monday, May 30, 2005",915,930,915,930,525.733948,41257500
"Tuesday, May 31, 2005",930,955,930,930,525.733948,148405000
"Wednesday, June 1, 2005",935,950,935,950,537.040039,46207500
"Thursday, June 2, 2005",950,965,950,965,545.519531,126775000
"Friday, June 3, 2005",965,970,960,960,542.692932,98595000
"Monday, June 6, 2005",960,965,950,960,542.692932,39555000
"Tuesday, June 7, 2005",960,960,950,955,539.866516,31795000
"Wednesday, June 8, 2005",955,955,940,945,534.213501,41505000
"Thursday, June 9, 2005",940,945,935,940,531.387024,31895000
"Friday, June 10, 2005",940,955,930,950,537.040039,72980000
"Monday, June 13, 2005",955,975,955,965,545.519531,76342500
"Tuesday, June 14, 2005",965,980,965,975,551.172607,51465000
"Wednesday, June 15, 2005",980,990,975,975,551.172607,116807500
"Thursday, June 16, 2005",980,990,980,985,556.825745,99902500
"Friday, June 17, 2005",990,1040,990,1040,587.91748,271085000
"Monday, June 20, 2005",1040,1070,1040,1070,604.876648,183512500
"Tuesday, June 21, 2005",1070,1070,1010,1020,576.611267,109695000
"Wednesday, June 22, 2005",1010,1010,970,1000,565.305176,137060000
"Thursday, June 23, 2005",990,1020,980,990,559.6521,142017500
"Friday, June 24, 2005",980,995,970,995,562.47876,25050000
"Monday, June 27, 2005",990,990,965,980,553.999084,73072500
"Tuesday, June 28, 2005",975,1000,970,1000,565.305176,85602500
"Wednesday, June 29, 2005",1000,1020,1000,1010,570.958313,50472500
"Thursday, June 30, 2005",1020,1020,1000,1000,565.305176,28955000
"Friday, July 1, 2005",1000,1050,1000,1050,593.570435,81627500
"Monday, July 4, 2005",1040,1060,1030,1050,593.570435,79855000
"Tuesday, July 5, 2005",1050,1050,1030,1040,587.91748,48892500
